,open_time,exit_time,direction,holding_time,returns,open_time_stamp,exit_time_stamp
27996,56700,56701.0,-1.0,1.0,0.0004999583472194146,2022-10-19 14:19:00,2022-10-19 14:20:00
27997,56701,56702.0,1.0,1.0,-0.00046685341650919116,2022-10-19 14:20:00,2022-10-19 14:21:00
27998,56702,56703.0,-1.0,1.0,-3.3353901575683105e-05,2022-10-19 14:21:00,2022-10-19 14:22:00
27999,56703,56705.0,1.0,2.0,-0.000967715100129772,2022-10-19 14:22:00,2022-10-19 14:24:00
28000,56705,56706.0,-1.0,1.0,0.0003673094623484648,2022-10-19 14:24:00,2022-10-19 14:25:00
28001,56706,56707.0,1.0,1.0,0.000434078508243347,2022-10-19 14:25:00,2022-10-19 14:26:00
28002,56707,56709.0,-1.0,2.0,0.0001669309744298293,2022-10-19 14:26:00,2022-10-19 14:28:00
28003,56709,56711.0,1.0,2.0,-0.000434150991173359,2022-10-19 14:28:00,2022-10-19 14:30:00
28004,56711,56712.0,-1.0,1.0,3.3404038551167095e-05,2022-10-19 14:30:00,2022-10-19 14:31:00
28005,56712,56715.0,1.0,3.0,-0.0006683152023125563,2022-10-19 14:31:00,2022-10-19 14:34:00
28006,56715,56716.0,-1.0,1.0,0.00020058168756460564,2022-10-19 14:34:00,2022-10-19 14:35:00
28007,56716,56717.0,1.0,1.0,-0.0008361903656391628,2022-10-19 14:35:00,2022-10-19 14:36:00
28008,56717,56718.0,-1.0,1.0,0.00010038984732453884,2022-10-19 14:36:00,2022-10-19 14:37:00
28009,56718,56719.0,1.0,1.0,0.000267683866953194,2022-10-19 14:37:00,2022-10-19 14:38:00
28010,56719,56723.0,-1.0,4.0,-0.0018049943062811804,2022-10-19 14:38:00,2022-10-19 14:42:00
28011,56723,56724.0,1.0,1.0,-0.00036741988154860084,2022-10-19 14:42:00,2022-10-19 14:43:00
28012,56725,56727.0,1.0,2.0,0.000834376352119361,2022-10-19 14:44:00,2022-10-19 14:46:00
28013,56728,56729.0,-1.0,1.0,0.000700595534836409,2022-10-19 14:47:00,2022-10-19 14:48:00
28014,56730,56731.0,1.0,1.0,-0.0001668808307861788,2022-10-19 14:49:00,2022-10-19 14:50:00
28015,56731,56733.0,-1.0,2.0,0.00010014186772959268,2022-10-19 14:50:00,2022-10-19 14:52:00
28016,56733,56735.0,1.0,2.0,-0.0007012740098053489,2022-10-19 14:52:00,2022-10-19 14:54:00
